,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
27,27,27,0.499255657522289,0.5007443424777083,-0.0014886849554192,0.9970270558663664,1.0029818088848652,4.1070976086114467e+61,2.0504917170955287e+61,2.0566058915159066e+61,False,False,False,673749,336373,337376,,,,,,,,,,,,,,,,,,,,,
28,28,28,0.5007088881418326,0.4992911118581736,0.0014177762836589,1.002839578454306,0.997168461920218,8.202056471266701e+63,4.1068425762044735e+63,4.095213895062279e+63,False,False,False,615753,308313,307440,,,,,,,,,,,,,,,,,,,,,
29,29,29,0.498936113051411,0.5010638869485936,-0.0021277738971826,0.9957534878233982,1.0042646219456226,1.6292776936659928e+66,8.1290547955907795e+65,8.163722141069224e+65,False,False,False,558330,278571,279759,,,,,,,,,,,,,,,,,,,,,
30,30,30,0.5010857191672701,0.4989142808327282,0.0021714383345417,1.0043523274798176,0.995666533186876,3.225508255682668e+68,1.6162561239787164e+68,1.609252131703946e+68,False,False,False,503353,252223,251130,,,,,,,,,,,,,,,,,,,,,
31,31,31,0.5010053359285156,0.4989946640714923,0.0020106718570232,1.004029445606928,0.995986725663716,6.361778855100748e+70,3.187285152402678e+70,3.174493702698121e+70,False,False,False,451093,226000,225093,,,,,,,,,,,,,,,,,,,,,
32,32,32,0.4996011944227058,0.500398805577299,-0.0007976111545931,0.9984060490438762,1.0015964956919583,1.2478504304111138e+73,6.2342756549427995e+72,6.2442286491683986e+72,False,False,False,401198,200439,200759,,,,,,,,,,,,,,,,,,,,,
33,33,33,0.4992114848217761,0.5007885151782212,-0.001577030356445,0.9968509055047244,1.0031590426189976,2.4492886800982588e+75,1.22271303874902e+75,1.226575641349232e+75,False,False,False,356366,177902,178464,,,,,,,,,,,,,,,,,,,,,
34,34,34,0.499408863237661,0.500591136762356,-0.0011822735246949,0.9976382451907928,1.002367345899771,4.787475852669356e+77,2.3909078733593553e+77,2.396567979310082e+77,False,False,False,314648,157138,157510,,,,,,,,,,,,,,,,,,,,,
35,35,35,0.4977767012754291,0.5022232987245694,-0.0044465974491402,0.9911461744996048,1.0089329159796891,9.333585828685724e+79,4.646041564874273e+79,4.687544263811438e+79,False,False,False,276616,137693,138923,,,,,,,,,,,,,,,,,,,,,
36,36,36,0.5010747443348448,0.4989252556651404,0.0021494886697043,1.0043082378478492,0.9957102434437048,1.8131693178267262e+82,9.085333523658118e+81,9.046359654608875e+81,False,False,False,241918,121219,120699,,,,,,,,,,,,,,,,,,,,,
37,37,37,0.5012097196688853,0.4987902803310862,0.002419439337799,1.004850614442994,0.9951728004409064,3.500971443433487e+84,1.7547209157320704e+84,1.7462505277013167e+84,False,False,False,209966,105237,104729,,,,,,,,,,,,,,,,,,,,,
38,38,38,0.4998345758524987,0.5001654241475113,-0.0003308482950126,0.9993385222587576,1.0006619155836676,6.73699244434161e+86,3.367381760938976e+86,3.3696106834027e+86,False,False,False,181352,90646,90706,,,,,,,,,,,,,,,,,,,,,
39,39,39,0.4985320549312165,0.5014679450687836,-0.0029358901375671,0.9941454081632988,1.0058890699374832,1.2957536407357808e+89,6.45974725200614e+88,6.497789155351669e+88,False,False,False,156341,77941,78400,,,,,,,,,,,,,,,,,,,,,
40,40,40,0.4999035264782649,0.5000964735217321,-0.0001929470434672,0.9996141803558252,1.0003859685584269,2.494950109760963e+91,1.2472343582568396e+91,1.2477157515041163e+91,False,False,False,134752,67363,67389,,,,,,,,,,,,,,,,,,,,,
41,41,41,0.5008697164724268,0.4991302835275622,0.0017394329448646,1.0034849276877598,0.9965271748567368,4.761777315243769e+93,2.385030053790981e+93,2.376747261452737e+93,False,False,False,114980,57590,57390,,,,,,,,,,,,,,,,,,,,,
42,42,42,0.4987015653066526,0.5012984346933492,-0.0025968693866966,0.994819713753375,1.005207261350984,9.035541538803269e+95,4.506038708794471e+95,4.529502830008815e+95,False,False,False,97425,48586,48839,,,,,,,,,,,,,,,,,,,,,
43,43,43,0.4980217907358873,0.5019782092641021,-0.0039564185282147,0.992118346065231,1.007944267905163,1.7080258460664552e+98,8.50634090481195e+97,8.57391755585242e+97,False,False,False,82145,40910,41235,,,,,,,,,,,,,,,,,,,,,
44,44,44,0.5029572932069333,0.497042706793076,0.0059145864138572,1.011899553766754,0.9882403804582592,3.219204057722308e+100,1.6191221591527885e+100,1.6000818985695498e+100,False,False,False,68982,34695,34287,,,,,,,,,,,,,,,,,,,,,
45,45,45,0.501057265668329,0.4989427343316661,0.0021145313366628,1.0042380241081077,0.9957798609429556,6.049320819069552e+102,3.0310561487534857e+102,3.0182646703160364e+102,False,False,False,57696,28909,28787,,,,,,,,,,,,,,,,,,,,,
